German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),other sources,notes,Vol,location,date,capital,business,persons,type
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Breslau, Wallstr. 1",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Curt Voigt; Emil Steffen,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Dresden, Christianstr. 27",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,M. Gustav Vogel,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Düsseldorf, Haroldstr. 17",8.6.25,RM 5000,Vertrieb von Photoartikeln der A. G. für Anilin-Fabrikation,Hans Grieb; Richard Häusgen,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Frankfurt a. M., Seilerstr. 26",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G. in Ludwigshafen,Wilhelm Stanigel,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Hamburg, Grindelallee 43",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,G. Philipp Knoch; R. A. F. Robert Rödiger,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Hannover, Lavesstr. 54",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Walter Barrenscheen,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Köln, Hohenstaufenring 66",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Kurt Wisniewski,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25",Königsberg i. Pr.,23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Carl Drognitz,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","Leipzig, Kreuzstr. 2",23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie A. G.,Otto Oertel; Kurt Habersang,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25","München, Barerstr. 15",16.9.25,RM 5000,Vertrieb von Photoartikeln der A. G. für Anilinfabrikation,Heinr. Wiedenmann,1 Gf.
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25",Stettin,23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie AG,Alfred Richter,1 Gf.
American News Company,"American News Company, Inc.",USC,GmbH,"American News Company, Inc.",American News Company,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/008-8449/0548.jp2,liquidated in 1934,"Vol 1, p. 43","Hamburg, Kl. Reichenstr. 21",9.8.22,RM 600,Herausgabe einer Zeitung in englischer Sprache,Eugene Deutsch; A. H. Bergmann geb. Thomaschek,2 Gf.
Columbia Film,Columbia Pictures Corp.,USC,GmbH,Columbia Pictures Corporation,Columbia Film,business description in Handbuch,"The business description is ""Filmschauspiel, Kostüme"", which is similar to the Columbia Pictures Corp.","Vol 1, p. 231","Berlin, Charlottenstr. 96",14. 5. 20,RM 600,"Filmschauspiel, Kostüme",P. Groß; K. Rellstab,Einl.
O-Cedar,O-Cedar Corporation,USC,GmbH,O-Cedar Corporation,O-Cedar,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/033-8474/0374.jp2,owned by London-based O-Cedar; liquidated in 1940,"Vol 1, p. 922","Berlin-Borsigwalde, Charlottenburger Str. 15-26",,RM 800 000,"Fabrikation und Vertrieb von O-Cedar-Fabrikaten, Möbelpolitur, Bohnerwachs und verwandter Artikel",Fr. Howe Packord,Jed. Gf.
The Fairbanks G.m.b.H. Company,The Fairbanks Company,USO,GmbH,Fairbanks Company,Fairbanks,,Do we have the right Fairbanks company in the US? Is it Gold Dust or ,"Vol 1, p. 372","Hamburg, Brook 1",30.12.19,RM 5000,Vertretung der The Fairbanks Company (Europe) Ltd. London und The Fairbanks Company New-York sowie Ex- und Import von Maschinen und technischen Geräten.,H. S. Fainaru,1 Gf.
"Gillette Safety Razor Company, G.m.b.H.",Gillette Safety Razor Company,USO,GmbH,Gillette Safety Razor Co.,Gillette Safety Razor Co.,,"False match, but Gillette Safety Razor Co. is a subsidiary of the American Gillette Safety Razor Co","Vol 1, p. 460","Hamburg, Spitalstr. 10",26. 3. 08,RM 62 500,"Gewerbliche und fabrikatorische Ausbeutung u. Verwertung der d. Gillette Safety Razor Co. in Amerika gehörigen Patente, Herstellung von Rasierapparaten",C. Ferd. Adderhalden,Jed. Gf.
Addressograph-Multigraph G.m.b.H.,Addressograph-Multigraph Corporation,USO,GmbH,Addressograph Company,Addressograph,,"In TFR-500 the parent is Addressograph-Multigraph Corporation, and in Moody's 1934 the name of the subsidiary is Addressograph-Multigraph G.m.b.H. That's because Addressograph merged with American-Multigraph Corporation in 1930 and became Addressograph-Multigraph.","Vol 1, p. 21","Berlin S 24, Ritterstr. 99",28.3.28,RM 700000,Vertrieb von Organisationsmaschinen u. Büroartikeln aller Art,R. I. Grog; CI. E. Thone; A. Porter,Jed. Gf. od. 1 Gf. u. 1 Pk. Sacheinl. RM 391000
Aeolian Company,Aeolian Company,USO,GmbH,Aeolian Company,Aeolian Company,https://www.pianola.org/history/history_playerpianos.cfm,"The business description in Handbuch is ""Herstellung und Vertrieb von Musikinstrumenten"" ","Vol 1, p. 24","Berlin W 10, Lützowufer 17",5. 6. 07,RM 500 000,Herstellung und Vertrieb von Musikinstrumenten,John Albert Findley; Johannes Hauff,1 Gf. od. 2 Pk
American Oil Company,American Oil Company,USO,GmbH,American Oil Company,American Oil Company,https://en.wikipedia.org/wiki/Amoco,"Wiki: In the following decades, Amoco expanded globally, creating plants, oil wells, or markets in over 30 countries, including Italy, Australia (acquired by BP in 1984), Britain, Belgium, Brazil, Argentina, South Korea, Taiwan, Pakistan, Norway, Venezuela, Russia, China, Trinidad and Tobago, Egypt, West Germany.In addition, the company also acquired a division of Tenneco Oil Company and Dome Petroleum Limited becoming one of the world's largest oil companies.","Vol 1, p. 43","Hamburg, Billwärder Steindamm 14/19",6.3.20,RM 500,Friedrich Bachmann,Friedrich Bachmann,1 Gf.
Bakelite Gesellschaft,Bakelite Corp.,USO,GmbH,Bakelite Corporation,Bakelite,,,"Vol 1, p. 82","Berlin W 35, Lützowstr. 32",25. 5. 10,RM 1100 000,Verwertung von Patenten von Kondensationsprodukten und plastischen Massen,David Sachs; Dr. phil. Max Weger,2 Gf. oder 1 Gf. u. 1 Pk.
Bausch & Lomb Optical Co.,Bausch & Lomb Optical Co.,USO,GmbH,Bausch & Lomb Optical Company,Bausch & Lomb Optical Co.,,,"Vol 1, p. 102","Frankfurt a. M., Schillerstraße 30",30.7.02,"RM 100,000",Fabrikation und Vertrieb von optischen Instrumenten aller Art,August Heinrich Lomb,1 Gf or 1 Pk
Blaw-Knox,Blaw-Knox Co.,USO,GmbH,Blaw-Knox Company,Blaw-Knox,,,"Vol 1, p. 152","Düsseldorf, Sternstr. 9",6.3.30,"RM 100,000","Herstellung, Vertrieb u. Errichtung von Maschinen u. Ingenieurbauten",W. Schwier,1 Gf.
Boston Blacking Company G.m.b.H.,United Shoe Machinery Corporation,USO,GmbH,Boston Blacking Company,Boston Blacking Company,,In TFR-500 the parent is United Shoe Machinery Corporation,"Vol 1, p. 167",Oberursel,23.12.03,RM 240 000,"Herstellung und Vertrieb von Tinten, Farben und Appreturen zur Verwendung in der Schuh- und Lederfabrikation",Svend Jernvet; Georg D. Pike (Boston); John Rollin Stuart,1 Gf. od. je 1 Pk. P.K. Ffm. 2423
"Butler Brothers, G.m.b.H.",Butler Brothers,USO,GmbH,Butler Brothers,Butler Brothers,,,"Vol 1, p. 201","Sonneberg, Thüringen",22.7.09,RM 154 000,Export von Waren aller Art nach Nordamerika,J. Hornbeck; Schoonmacker; P. Schütt,1 Gf. od. 2 Pk. od. 1 Pk.
Chesebrough Manufacturing Co. G.m.b.H.,Chesebrough Manufacturing Co. Consolidated,USO,GmbH,Chesebrough Manufacturing Co. (Cons.),Chesebrough Manufacturing Company,,,"Vol 1, p. 223","Berlin SO 16, Köpenicker Str. 127",31.8.16,RM 20 000,Vertrieb von amerikanischen Spezialitäten der pharmazeutischen Branche,Dir. Maximilian Gethmann,1 Gf.
Coca-Cola G.m.b.H.,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",USO,GmbH,Coca-Cola International Corporation,Coca-Cola,,,"Vol 1, p. 228",Essen,24.5.30,"RM 300,000","Herstellung von und Handel mit alkoholfreien Getränken, Ausnutzung des Warenzeichens Coca-Cola",A. H. Staton,1 Gf.
Corn Products Co.,Corn Products Refining Company,USO,GmbH,Corn Products Refining Company,Corn Products Co.,https://fraser.stlouisfed.org/title/commercial-financial-chronicle-1339/june-5-1909-497115/fulltext,"""All capital stock of Corn Products Co., m.b.H. Hamb'g(M.100,000) 23,700,217,000""","Vol 1, p. 236","Hamburg, Spaldingstraße 216/18",14.3.05,"RM 1,500,000",Vertrieb von Maisprodukten,E. G. H. Dircks,1 Gf. od. 2 Pk.
Deutsche Celotex Vertrieb,Celotex Co.,USO,GmbH,Celotex Company,Deutsche Celotex Vertrieb,,,"Vol 1, p. 265",Potsdam,8.7.07,RM 150000,"Vertrieb von Isolier- und Bauplatten, insbesondere der Celotexplatten",R. Schweizer; A. Hafner,R.
Deutsche Underwood Elliott Fisher G.m.b.H.,Underwood Elliott Fisher Company,USO,GmbH,Underwood Elliott Fisher Company,Deutsche Underwood Elliot Fisher,,,"Vol 1, p. 281",Berlin,7. 9. 31,RM 100 000,"Handel mit Schreib- und Büromaschinen aller Art, Generalvertrieb der Erzeugnisse der Underwood Elliot Fisher Comp., New York",And. Lorant,Jed. Gf.
Durant Motors,"Durant Motors, Inc.",USO,GmbH,"Durant Motors, Inc.",Durant Motors,https://digi.bib.uni-mannheim.de/periodika/reichsanzeiger/ocr/film/tesseract-4.0.0-20181201/009-8450/0698.hocr,"US parent went broke in 1933, GmbH was also liquidated in 1933","Vol 1, p. 311","Berlin W 9, Voßstr. 7",15. 5. 28,RM 300 000,Herstellung und Vertrieb von Kraftfahrzeugen und Zubehörteilen,Dr. Jul. Dünkelsbühler; W. C. Durant,Jed. Gf.
Eagle Oil Company of New York,Eagle Oil Company,USO,GmbH,Eagle Oil Company,Eagle Oil Company of New York,Name of GmbH,,"Vol 1, p. 312","Hamburg, Kirchenallee 25",5. 6. 09,RM 100 000,Fabrikation u. Vertrieb von Gelen u. Fetten,G. F. C. von Krogh; V. A. E. Hüne,Jed. Gf.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 338","Berlin-Tempelhof, Oberlandstr. 36. Zweign. Danzig",10.7.25,"RM 250,000",Vertrieb von Elektrolux-Apparaten (Staubsaugern),Dir. Dr. E. Müllendorff; A. Melin-Högrell; W. Frhr. von Bischoffshausen,2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 338",Breslau,31.7.25,"RM 100,000",Vertrieb von Elektrolux-Staubsaugern,A. Melin-Högrell,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 338","Frankfurt a. M., Goethestr. 14",15.8.25,"RM 150,000",Vertrieb von Elektrolux-Apparaten u. sonstigen elektrotechnischen Artikeln,Dr. E. Müllendorff,2 Gf. od. 1 Gf.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Hamburg, Mönckebergstr. 18",23.7.25,"RM 250,000",Vertrieb von Elektrolux-Apparaten,W. Frh. von Bisohoffshausen; R. Voß; A. Melin-Högrell,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Hannover, Seilwindstr. 4/5",12.8.25,"RM 150,000",Vertrieb von Elektrolux-Apparaten u. sonstigen elektrotechnischen Artikeln,Dr. E. Müllendorff,2 Gf. od. 1 Gf.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Köln, Altermarkt 26",13.8.25,"RM 300,000",Vertrieb von Elektrolux-Apparaten und sonstigen elektrotechnischen Artikeln,W. Frh. von Bischoffshausen; M. Kornalewski; Dr. E. Müllendorff,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","Leipzig, Universitätsstr. 8",18.8.25,"RM 150,000","Vertrieb von Elektrolux-Apparaten u. sonst, elektrotechnischen Artikeln",Dr. E. Müllendorff,I od. 2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339","München, Salvatorstr. 18",17.8.25,"RM 250,000",Vertrieb von Elektrolux-Apparaten u. sonstigen elektrotechnischen Artikeln,W. Frh. von Bischoffshausen; A. Melin-Högrell; Dr. H. Frh. von Hünefeld,2 Gf. od. 1 Gf. u. 1 Pk.
Elektrolux,"Servel, Inc.",USO,GmbH,Electrolux Servel Corporation,Elektrolux,,"In Tenenbaum, the parent is Servel, and Elektrolux is an AG","Vol 1, p. 339",Stettin,28.7.25,"RM 100,000",Vertrieb von Elektrolux-Apparaten und sonstigen elektrotechnischen Artikeln,Dr. E. Müllendorff,2 Gf. od. 1 Gf.
General Motors G.m.b.H.,General Motors Corporation (Overseas Operations),USO,GmbH,General Motors Corporation,General Motors,,,"Vol 1, p. 435","Berlin-Borsigwalde, Charlottenburger Straße 65—89",6.2.25,RM 1000 000,Fabrikation von Automobilen,A. J. Wieland,Der Gf.
"Hobart Maschinen Gesellschaft, m.b.H.",The Hobart Manufacturing Company,USO,GmbH,Hobart Manufacturing Company,Hobart Maschinen,,,"Vol 1, p. 587",Hamburg,7.3.30,RM 200 000,Vertrieb von Hobart-Maschinen für die Zubereitung von Nahrungsmitteln,R. H. Wark,1 od. 2 Gf.
Ingersoll-Rand,Ingersoll-Rand Company,USO,GmbH,Ingersoll-Rand Company,Ingersoll-Rand,https://de.wikipedia.org/wiki/Ingersoll_Rand,Das Unternehmen wurde 1871 unter dem Namen Ingersoll Rock Drill Company gegründet. 1905 folgte der Zusammenschluss mit der Rand Drill Company zur Ingersoll-Rand Company. Es existierte zudem eine Ingersoll-Rand GmbH (Geschäftsführer ab 1973: Hans-Joachim Sassenberg).,"Vol 1, p. 627",Frankfurt a. M.,2.11.29,RM 150 000,"Erzeugung, Reparatur u. Handel von Preßluftmaschinen, Preßluftwerkzeugen u. Motoren",J. Bolton,1 od. 2 Gf.
"International Harvester Company, m.b.H.",International Harvester Company,USO,GmbH,International Harvester Company,International Harvester Company,,,"Vol 1, p. 630","Neuß. Zweign. Berlin, Breslau, Hamburg, Königsberg i. Pr., Leipzig",30. 12. 08,RM 12 000 000,"Herstellung und Vertrieb von Maschinen, insbesondere landwirtschaftlicher Maschinen",F. J. Brown; P. O. Pleiß; J. G. Sawall; Th. E. Stelter; J. J. Hertz; J. Eigen; A. Rentsch; H. Emch,Jed. Gf.
Kraft Kaese Werke G.m.b.H.,Kraft Cheese Company,USO,GmbH,Kraft-Phenix Cheese Corporation,Kraft Cheese Company,,,"Vol 1, p. 714","Hamburg, Esplanade 6",28. 4. 27,RM 20 000,"Handel mit Produkten der Kraft Cheese Company Ltd., Chicago, sowie Handel mit Lebensmitteln aller Art",Edw. Hermann Kenworthy,1 Gf.
"Parker Pen Co., G.m.b.H., Berlin, Germany",Parker Pen Co.,USO,GmbH,Parker Pen Company,Parker Pen,,,"Vol 1, p. 950","Berlin W 8, Taubenstr. 46 IV",25. 1. 30,EM 250 000,"Import u. Vertrieb der Erzeugnisse der Akt.-Ges. Parker Pen Company, nämlich Goldfüllfederhalter, Füllbleistifte u. andere Schreibutensilien",A. E. Zoccola,1 Gf
Philip Morris & Co. Limited G.m.b.H.,"Philip Morris & Co. Ltd., Inc.",USO,GmbH,"Philip Morris & Co., Ltd., Ind.",Philip Morris & Company Limited,,,"Vol 1, p. 865","Berlin SW 11, Anhaltstraße 14",29. 3. 28,RM 20 000,Herstellung u. Vertrieb von Tabakerzeugnissen u. Rauchutensilien,Eugen Koch; G. Alexander Ledingham,1 Gf.
Quaker Oats Co. G.m.b.H.,Quaker Oats Co.,USO,GmbH,Quaker Oats Company,Quaker Oats Company,,,"Vol 1, p. 990","Elsen, Amtsger. Grevenbroich",29. 12. 06,RM 60 000,"Handel mit Bodenfrüchten, Herstellung von Produkten aus Bodenfrüchten",E. Noell,1 Gf.
Reece Machinery Company,The International Button Hole Sewing Machine Company,USO,GmbH,Reece Folding Machine Company,Reece Machinery Co.,,In other sources the parent is The International Button Hole Sewing Machine Company,"Vol 1, p. 1003",Frankfurt a. M.,9. 9. 30,RM 20 000,Vertretung der International Button Hobo Seving Machine Company in Boston als der alleinigen Lieferantin von Reece Maschinen.,J. Reece; W. M. Finkle; H. Bunkenburg,"Gf. R. u. F. allein, sonst 2 Gf."
S. Oppenheimer & Co.,Oppenheimer (S.) & Company,USO,GmbH,Oppenheimer (S.) & Company,S. Oppenheimer & Co.,closed in 1935,"The business descriptions in Handbuch and Moody's 32 overlap in sausage preparation, and Moody's 32 indicates that there's a branch operating in Hamburg.","Vol 1, p. 930","Hamburg, Catharinenkirchhof 2",27. 8. 20,RM 10 000,"Handelsgeschäfte mit Därmen, u. anderen animalischen Produkten",A. W. Kempner; L. C. Stör,Jed. Gf.
German-American Tobacco Co.,German-American Tobacco Co.,USO,GmbH,German-American Tobacco Co.,German American Tobacco Company,,"* needs further research *In TFR-500 the parent firm is Standard Commercial Tobacco Co., Inc.","Vol 1, p. 439","Berlin W 10, Lützowufer 17",27. 5. 31,RM 20 000,"Handel mit Tabak und Tabakserzeugnissen aller Art, insbesondere auch Einfuhr solcher Gegenstände aus Amerika",F. Wirth jun.,1 od. 2 Gf.
Holophane-Gesellschaft,"Holophane Company, Inc.",USOP,GmbH,"Holophane Company, Inc.",Holophane-Gesellschaft,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/108-9516/0241.jp2,unclear if ownership or only patent/profit sharing,"Vol 1, p. 597","Berlin SW 68, Alte Jakobstraße 20/22",16.5.11,"RM 20,000",Vertrieb der Produkte der Holophane-Gesellschaft oder deren Fabrikation in Deutschland,J. Franck,Der Gf.
Hupp Motors,Hupp Motor Car Corporation,USOP,GmbH,Hupp Motor Car Corporation,Hupp Motors,,see email 2025-05-08,"Vol 1, p. 612",Hamburg,10. 6. 29,RM 20 000,"Verkauf, Lagerung u. Spedition von Beförderungsmitteln, insbesondere von Automobilen der Hupp Motor Car Corp, in Detroit",Th. Onken,
W. T. Grant Company,"Grant, (W. T.) Company",USOP,GmbH,"Grant, (W. T.) Company",W. T. Grant Company,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/055-9015/0252.jp2,,"Vol 1, p. 475","Berlin SW 68, Ritterstr. 73",29.4.26,RM 20 000,"Vertretung überseeischer, insbesondere amerikanischer Firmen",A. Ostermann,1 od. 2 Gf.
