German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Description
,Central American Plantations Corp.,Others,Others,CENTRAL AMERICAN PLANTATIONS CORP.,,"An officer is based in Hamburg, Germany. No subsidiary or agreements are mentioned."
Carrier Lufttechnische Gesellschaft,Carrier Corporation,USC,GmbH,CARRIER CORPORATION,Carrier Lufttechnische Gesellschaft,"""Plants and laboratories of its subsidiaries and affiliates are located in Newark, N. J.; Bridgeport, Pa.; New Brunswick, N. J.; Allentown, Pa.: Chicago, Ill.; London, Eng.; Stuttgart, Germany; Tokio, Japan. "" ""Affiliated companies: ..., Carrier Lufttechnische Gesellschaft, Berlin, Germany, ..."""
,Carnation Co.,Others,Others,CARNATION CO.,,"""Owns a majority (65%) of the stock of General Milk Co. Inc., which is engaged in export business, and owns and operates four condenseries located In France, Holland and Germany, and operates can factories in France, Holland and Germany.""; the company lists out all the sibsidiaries in the US, but none abroad"
,Celotex Co.,Others,Others,CELOTEX CO. (THE),,"""Company supplies over 7,000 retail dealers and operates divisional sales offices in principal cities of the U. S. Sales offices are also maintained in England, Australia, Canada, Argentina, Japan, Germany and Italy."""
,Hugo Stinnes Corporation,USO,Others,HUGO STINNES CORP.,,"Substantially all of the properties are located in Germany, with exception of certain coal terminal and distributing faculties in Holland, Belgium, Denmark, Sweden and Italy and timber lands in Sweden."
Hugo Stinnes G.m.b.H.,"Hugo Stinnes Industries, Inc.",USO,GmbH,"HUGO STINNES INDUSTRIES, INC.",Hugo Stinnes G. m. b. H.,
Rheinische-Westfaelische Bergwerks Gesellschaft,"Hugo Stinnes Industries, Inc.",USO,GmbH,"HUGO STINNES INDUSTRIES, INC.",Rheinische-Westfaelische Bergwerks Gesellschaft,
Reece Machinery Company,The International Button Hole Sewing Machine Company,USC,GmbH,INTERNATIONAL BUTTON-HOLE SEWINO MACHINE CO,Reece Machinery Co. G.m.b.H.,"INTERNATIONAL BUTTON-HOLE SEWINO MACHINE CO.: Incorporated in Maine, May 18,1882. Owns foreign patents for Reece button-hole machinery, with agendas in Italy, Australia, New Zealand, Cuba, South America, Japan and South Africa. Also represented in England by Reece Machinery Co., Ltd.; in France by Reece Machineiy Co. (France); in Germany by Reece Machinery Co. G.M.B.H.; and in Canada by Reece Machinery Co. of Canada, Ltd. Entire capital stock of these companies is owned by the company. During latter part of 1931 company became exclusive agents in all countries other than Canada and the United States for the entire line of Union Button Sewing Machine"
"Hobart Maschinen Gesellschaft, m.b.H.",The Hobart Manufacturing Company,USO,GmbH,HOBART MANUFACTURING CO.,"Hobart Gesellschaft, Hamburg, Germany","""Other subsidiaries include Compagnie Internationale Hobart, Paris, France, manufacturing plant, and Hobart Gesellschaft, Hamburg, Germany. """
,Heyden Chemical Corp.,USC,Others,HEYDEN CHEMICAL CORP.,,"""Company has exclusive right in United States and Canada, of all patents, trade names, and processes of Chemische Fabrik Von Heyden of Germany"""
"Moto Meter Gesellschaft, m. b. H.",Moto Meter Gauge & Equipment Corp.,USO,GmbH,MOTO METER GAUGE & EQUIPMENT CORP.,"Moto Meter Gesellschaft, m. b. H., Germany. ","""Also owns 51% of the capital stock of Moto Meter Gesellschaft, m. b. H., Germany. """
"Deutsche Norton-Gesellschaft, m.b.H.",Norton Company,USO,GmbH,NORTON CO.,"Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany","""Subsidiaries: Company holds stock control of the following companies: ... Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany..."""
"Royal Schreihmaschinen, G.m.b.H.","Royal Typewriter Company, Inc.",USC,GmbH,"ROYAL TYPEWRTTER CO., INC.","Royal Schreibmaschinen G. m. b. H., of Berlin","""Company has selling agencies In all large cities of the U. S.; also has a Canadian branch. Product is sold ... in Germany through the Royal Schreibmaschinen G. m. b. H., of Berlin..."""
"Parker Pen Co., G.m.b.H., Berlin, Germany",Parker Pen Co.,USO,GmbH,PARKER PEN CO. (THE),"Parker Pen Co., G.m.b.H., Berlin, Germany","""Also controls Parker Pen Co. (Del.), Parker Pen Co, G.m.b.H, Berlin, Germany, and Parker Pen Co, Ltd. (Eng.), with sales office in London. Direct branches and distributing connections in all principal cities of the world. On Dec. 28, 1929, The Parker Pen Co. disposed of Its approximately 80% stock interest in Parker, A. G, which operated a manufacturing plant in Dossenheim, Heidelberg, Germany, and in Feb, 1930, started a 100% Parker controlled company called Parker Pen, G.m.b.H, at Berlin, Germany, which company operates a sales and service office, and carries a wholesale stock of merchandise which is distributed through a sales force to dealers in Germany, In Feb., 1929, jointly with the Wahl Co, and W. A. Sheaffer Pen Co. organised a jointly owned independent company under the name of Pen Desk Set Co. to which each of the above companies was to assign their patents covering desk sets, fountain pens and holders. In May, 1931, company put out a new product ""Quink”—a quick drying ink. Number of employees, Dec. 31, 1931, about 1,260."""
"Fulda Rubber Co. of Fulda, Germany",Seiberling Rubber Co.,USC,GmbH,SEIBERLING RUBBER CO.,"Fulda Rubber Co. of Fulda, Germany","""Has working agreement with Fulda Rubber Co. of Fulda, Germany..."""
German-American Tobacco Co.,"Standard Commercial Tobacco Co., Inc.",USC,GmbH,"STANDARD COMMERCIAL TOBACCO CO, INC.",German-American Tobacco Co.,"""During 1929, acquired a cigarette factory in Germany."" ""On May 20, 1931 German-American Tobacco Co., was incorporated in Delaware by Ery Kabaya, president of Standard Commercial Tobacco Co. and associates to engage in the manufacture of American type cigarettes in Germany. Capital consists of $10,000,00 of preferred stock, and 3,000,000 no par common shares. It is expected that the company will take over the Werkhof Cigarette factory at Bremen, which is now owned by Standard Commercial Tobacco Co."""
,Turner tanning Machinery Co.,Others,Others,TURNER TANNING MACHINERY CO. (THE),,"""Branches located at Philadelphia, Pa., Newark, N. J , Milwaukee, Wis.; Leeds, England; Paris, France; Frankfurt, Germany."""
Pfaudler-Werke AG,The Pfaudler Co.,USO,AG,PFAUDLER CO. (THE),"Pfaudler Werke A. G. at Schwetzingen, Germany","""Owns the Enamelled Metal Products Corp, Ltd., of London; the Pfaudler Werke A. G. at Schwetzingen, Germany"""
,Buffalo Electro-Chemical Co.,USC,Others,BUFFALO ELECTRO-CHEMICAL CO. INC.,"M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany","""Unconditionally guaranteed jointly and severally as to principal and Interest by M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany..."""
,Addressograph-Multigraph Corporation,USO,Others,MULTIGRAPH CO.,,"""Plant is located at Cleveland, Ohio, and its products are distributed throughout the United States, Canada, England, Germany, Central and South America and other foreign countries through five subsidiary companies, thirty two branches and fifty direct sales offices"""
,Penton Publishing Co.,Others,Others,PENTON PUBLISHING CO. (THE),,"""Maintains offices in Cleveland, New York, Pittsburgh, Chicago, Cincinnati. Washington; London and Birmingham, Eng.; Paris, France; and Berlin, Germany. """
,American Can Company,USC,Others,AMERICAN CAN COMPANY,"Th. Goldschmidt of Essen, Germany","""For list of companies consolidated, see previous editions. In March, 1908, acquired an interest in the Sanitary Can Co. In connection with Th. Goldschmidt of Essen, Germany, Goldschmidt Detinning Co, (now Metal & Thermit Corp, which see), was organized. Latter operates a plant for detinning scrap. American Can Co. has contracted to sell this company its output of scrap for a term of yean. In Aug., 1925, acquired property of Central Bag Mfg. Co, located in Chicago for $600,000 cash. """
Nationale Radiator Gesellschaft m.b.H.,American Radiator & Standard Sanitary Corporation,USO,GmbH,AMERICAN RADIATOR & STANDARD SANITARY CORPORATION,"Nationale Radiator Gesellschaft, m.b.H. (Germany), Berlin",
,New York Shipbuilding Corporation,USC,Others,NEW YORK SHIPBUILDING CORPORATION,Maschinenfabrik Augsburg Nurnberg A. G. of Germany,"In March, 1927, company completed license agreement with Maschinenfabrik Augsburg Nurnberg A. C. of Germany for latter company’s Diesel engine development for railway traction purposes. New York Shipbuilding Co. is a wholly owned subsidiary."
Bergwerkgesellschaft Georg von Giesche's Erben,Silesian-American Corporation,USO,GmbH,SILESIAN-AMERICAN CORPORATION,Bergwerkgesellschaft Georg von Giesche's Erben,"Security — A joint mortgage on nine mines, mining properties and lands including buildings, concentrator, plants, etc., located in Upper Silesia, Germany subject to certain charges under the Dawes Plan and also small mining royalties."
,Burroughs Adding Machine Company,USO,Others,BURROUGHS ADDING MACHINE COMPANY,,"Other subsidiaries are located in Mexico, Argentine, Cuba, Brazil, Germany, Belgium, Uruguay and Chile."
,Electric Boat Company,Others,Others,ELECTRIC BOAT COMPANY,,"Government Claim Settlement: On Mar. 12, 1929, company recieved payment of its claims against the U. S. Government, in accordance with decision of Court of Claims of December, 1928, amounting to $8,674,584. The claim of the company against the German Government filed with the Mixed. Claims Commission, alleging that Germany used company’s patents on submarines was decided in its favor and the company wu awarded about $250,000 damages."
,Signode Steel Strapping Co.,USO,Others,SIGNODE STEEL STRAPPING CO.,,"Has subsidiaries in Belgium, Canada, England, Italy, Germany and Holland. Products are mar trade name ""Signode"". "
Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),Chicago Pneumatic Tool Co.,USO,GmbH,CHICAGO PNEUMATIC TOOL COMPANY,"Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany","""In Dec., 1925, company acquired from Motoran Werke, American and Canadian manufacturing and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany."" ""Subsidiaries: Canadian Pneumatic Tool Co., Ltd., Montreal, Canada; Chicago Pneumatic Tool Co. of Masa; Consolidated Pneumatic Tool Co., Ltd. London, Eng.; Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany; Pneumatic Tool Realty Corp., New York City; Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany."""
Pressluftwerkzeug und Maschinenbau AG (Premag),Chicago Pneumatic Tool Co.,USO,AG,CHICAGO PNEUMATIC TOOL COMPANY,"Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.","""In Dec., 1925, company acquired from Motoran Werke, American and Canadian manufacturing and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany."" ""Subsidiaries: Canadian Pneumatic Tool Co., Ltd., Montreal, Canada; Chicago Pneumatic Tool Co. of Masa; Consolidated Pneumatic Tool Co., Ltd. London, Eng.; Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany; Pneumatic Tool Realty Corp., New York City; Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany."""
,Quaker Oats Co.,Others,Others,THE QUAKER OATS COMPANY,,"""Mills are located at Akron, Ohio: Cedar Bapids, la.; St. Joseph, Mo.; Memphis, Tenn.; Depew, N. Y.; Tecumseh, Mich.; Peterborough, Ont.; Saskatoon, Baric., and Eisen, Germany, manufacturing various cereal food products, the best known bring ""Quaker Oats."""
,E.I. du Pont de Nemours and Company,USC,Others,E. I. DU PONT DE NEMOURS & COMPANY,,"During 1929, company also joined In the formation of two new German companies to undertake the manufacture and sale in Germany of pyroxylin finishes, including Duco, and of Ventube, a rubber-coated fabric tubing used for mine ventilation and in tunnel construction work."
Optima-Maschinenfabrik A.-G.,International Business Machine Corp.,USO,AG,INTERNATIONAL BUSINESS MACHINES CORPORATION,"Optima-Maschinenfabrik, A.-G.","Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. "
"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",International Business Machine Corp.,USO,GmbH,INTERNATIONAL BUSINESS MACHINES CORPORATION,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.","Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. "
"Deutsche Geschaftmaschinen Gesellschaft, m.b.H.",International Business Machine Corp.,USO,GmbH,INTERNATIONAL BUSINESS MACHINES CORPORATION,"Deutsche Geschaftmaschinen Gesellschaft, m.b.H.","Factory in Sindelfingen, Germany, began production in 1924 and Paris factory in 1926. "
"Kayser Textile-Gesellschaft, m. b. H. in Saxony",Julius Kayser & Company,USO,GmbH,JULIUS KAYSER & COMPANY,"Kayser Textile-Gesellschaft, m. b. H. in Saxony","In Sept, 1922, the company formed the Kayser Textile-Gesellschaft, m. b. H. in Saxony, to handle the export business of the company in Germany."
,Colgate-Palmolive-Peet Co.,USO,Others,COLGATE-PALMOLIVE-PEET COMPANY,,"Through its subsidiaries the company also owns plants at Toronto, Can., Mexico City, Mex., Sydney, Australia, Havana, Cuba, London, Eng., Hamburg, Germany, and Paris, France.
Subsidiaries: The company has organized a number of foreign subsidiaries: in two of these (Colgate-Palmolive-Peet, S. A., and Crusellaa y Campania, B. A , both of Cuba) it owns 61% of the capital stock, while the others are wholly owned. The subsidiaries in Canada Mexico, Cuba, Australia, Paris and Hamburg own and operate factories where most of the principal items of the Palmolive and Colgate lines of toilet soap and toilet preparations are made; some are also made by an English subsidiary and a limited amount of manufacturing is done by agencies of the company in South America. Certain of the company’s products are made for it on contract in many foreign countries."
Adam Opel Aktiengesellschaft,General Motors Corporation (Overseas Operations),USO,AG,GENERAL MOTORS CORPORATION,Adam Opel A.G.,"""On Mar. 18, 1929, It was announced that General Moton Corp., had become associated with Adam Opel A.G. of Rüsselsheim, Germany, an 80% interest in that company having being taken at a cost of about $26,000,000. In 1931 the minority interest was acquired. The Opel Co. manufactures the Opel automobile, production consisting of about 40% of cars produced In Germany, and numerous other products."""
Allgemeine Finanzierungs Gesellschaft m.b.H.,General Motors Acceptance Corporation,USO,GmbH,GENERAL MOTORS ACCEPTANCE CORPORATION,Continental and Allgemeine Finanzierungs-G. m. b. H.,"Incorporated ... to provide credit facilities exclusively for General Motors Corporation distributors and dealers and purchasers of General Motors products, a service with contemplates financing overseas and domestic wholesales and retail sales of products which include ... General Aviation aircraft and G. M. radios; also GMC trucks In Canada and overseas, Vauxhall automobiles and trucks manufactured in England, and Opel automobiles manufactured in Germany. ... Owns entire capital stock of General Exchange Insurance Corp, (see Moody’s Bank and financeManual) and General Moton Acceptance Corp, of DeL, General Moton Acceptance Corp., Mexico, General Moton Acceptance Corp, of Indiana, Inc., General Motors Acceptance Corp., South America, General Moton Acceptance Corp., Continental and Allgemeine Finanzierungs-G. m. b. H. On Dec. 31, 1931, company and subsidiaries operated 106 branch offices in the principal cities in the United States and abroad with a total personnel of 4,787."
Chemische Werke Odin (Germany),Eastman Kodak Company,USO,GmbH,EASTMAN KODAK COMPANY,Chemische Werke Odin (Germany),"Company and subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany, Hungary and Australia."
Kodak Aktiengesellschaft,Eastman Kodak Company,USO,AG,EASTMAN KODAK COMPANY,Kodak Aktiengesellschaft (Germany) ,"Company and subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany, Hungary and Australia."
"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",Mergenthaler Linotype Company,USO,GmbH,MERGENTHALER LINOTYPE COMPANY,Margenthaler Setzmaschinen Fabrik G.m.b.H. of Germany,"In 1909 acquired a controlling interest in Linotype & Machinery, Ltd., and in the Margenthaler Setzmaschinen Fabrik G.m.b.H. of Germany. Linotype & Machinery. Ltd., has a plant at Broadheath, near Manchester, England, where it manufactures printing machinery, linotypes and parts."
The Stanley Works G.m.b.H.,The Stanley Works,USO,GmbH,THE STANLEY WORKS,"Stanley Work, G. m. b. H., Velbert, Germany","Owns and operates the Stanley Works of Canada, Ltd., and Stanley Steel Cov Ltd., at Hamilton, Ont., Canada, and the Stanley Tool Co, Ltd., Roxton Fond, Quebec, Canada; Stanley Chemical Co., Berlin, Conn.; Eagle Square Mfg. Co., South Shaftabury, Vt.; Stahley, Bic., Pulaski, Tenn.; Stanley Work, G. m. b. H., Velbert, Germany; Farmington River Power Co., Rainbow, Conn. "
"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",Royal Baking Powder Company,USO,GmbH,ROYAL BAKING POWDER COMPANY (Controlled by Standard Brands Inc.},"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.","Company controls through 100% ownership, Wright, Crossley & Co., Ltd. (and its subsidiary Aintree Co., Ltd.), Liverpool, Eng.; Alliance Food Product, Ltd., London, Eng.; Royal Baking Powder (Proprietory), Ltd., Cape Town, South Africa, and Deutsche Royal Backputver, Gesellachaft m.b.H., Berlin. Germany."
"H. A. Bender Bohne, of Mannheim, Germany",Crown Cork International Corporation,USO,GmbH,"CROWN CORK INTERNATIONAL CORPORATION (Controlled by Crown, Cork & Seal Co., Inc.)","H. A. Bender Bohne, of Mannheim, Germany","Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.,  which owns a branch plant at Rio de Janeiro, Brazil; Wallis Crown Cork Co., Ltd of London, Eng.; Crown Cork & Seal Co. Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.: Corchera Internadonal. of Sevills, Spain; Hijos de H. A, Bender, of San Failli, Spain; H, A. Bender Bohne, of Mannheim, Germany; Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany; Société du Bouchon Couronne, of Paris, France."
"Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany",Crown Cork International Corporation,USO,GmbH,"CROWN CORK INTERNATIONAL CORPORATION (Controlled by Crown, Cork & Seal Co., Inc.)","Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany","Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.,  which owns a branch plant at Rio de Janeiro, Brazil; Wallis Crown Cork Co., Ltd of London, Eng.; Crown Cork & Seal Co. Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.: Corchera Internadonal. of Sevills, Spain; Hijos de H. A, Bender, of San Failli, Spain; H, A. Bender Bohne, of Mannheim, Germany; Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany; Société du Bouchon Couronne, of Paris, France."
"International Harvester Company, m.b.H.",International Harvester Company,USO,GmbH,INTERNATIONAL HARVESTER COMPANY,International Harvester Co. m. b. H. ,
Intertype Setzmaschinen G.m.b.H.,Intertype Corporation,USO,GmbH,INTERTYPE CORPORATION,Intertype Setzmaschinen G. m. b. H.,"Also maintains selling branches in Chicago, San Francisco, Boston, Los Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London); Intertype Setzmaschinen G. m. b. H. and intertype Fabric G. m. b. H. (Germany)"
Intertype Fabrik G.m.b.H.,Intertype Corporation,USO,GmbH,INTERTYPE CORPORATION,Intertype Fabric G. m. b. H.,"Also maintains selling branches in Chicago, San Francisco, Boston, Los Angeles, New Orleans, London, Eng., and Berlin, Germany. Owns entire capital stock of lntertype, Ltd. (London); Intertype Setzmaschinen G. m. b. H. and intertype Fabric G. m. b. H. (Germany)"
Deutsche Libbey-Owens Gesellschaft für machinelle Glasherstellung A.G.,Libbey-Owens-Ford Glass Company,USC,Others,LIBBEY-OWENS-FORD GLASS COMPANY,"Deutsche Libbey-Owens Gesellschaft fuer Maschinelle Glasherstellung, Aktiengesellschaft, Gelsenkirchen, Germany.",
Norddeutsche Mineralöl-Aktiengesellschaft,Magdalena Syndicate,USO,AG,MAGDALENA SYNDICATE,Nord Deutsche Mineraloel A. G.,"In April, 1931 acquired oil properties in Germany Including 388,000 acres of land in North Germany. Two refineries now under lease and in operation are included. The purchase was effected through the issuance of 2,408,000 additional shares of common stock of the syndicate. Owns 95% of the Nordoel Co. (Nord Deutsche Mineraloel A. G.), acquired in April 1931."
,Central Cuba Sugar Co.,Others,Others,CENTRAL CUBA SUGAR CO.,,"Interest paid J&J 1. at company's office. New York, and at office of Trustees in London, England, in sterling; also in Hamburg. Germany; and Amsterdam, Holland. "
Blaw-Knox,Blaw-Knox Co.,USC,GmbH,BLAW-KNOX CO.,"Blaw-Knox G.m.b.H., Dusseldorf, Germany","Company Is affiliated with Blaw-Knox, Ltd., Cowan Hulbert, Ltd, and Milliken Bros., Ltd, London, Eng., Compagnie Française Blaw-Knox, Parla, France, Blaw-Knox G.m.b.H., Dusseldorf, Germany, and Compagnia Itallana Forme Aceiaio, Milan, Italy."
Ritter AG,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",USO,AG,"RITTER DENTAL MFG. CO., INC.","Ritter, A.G.","Owns 96% of capital stock of Ritter, A. G., which owns two plants in Baden, Germany"
Dartex Aktiengesellschaft für Kautschuk-Verarbeitung,Dewey & Almy Chemical Co.,USO,AG,DEWEY & ALMY CHEMICAL CO.,"Dartex, A.G.","Also owns a 50% interest in Dartex, A.G., Germany."
Ch. Eitingon AG,"Eitingon Schild Co., Inc.",USO,AG,EITINGON-SCHILD CO. INC.,"Ch. Eitingon, AG. (Leipzig,Germany)","The following are subsidiaries: ... Ch. Eitingon, AG. (Leipzig,Germany), ..., Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany),Kruskal A Kruskal, Inc. (New York), EitingtSchud Fur Corp. (New York) ..."
"Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)","Eitingon Schild Co., Inc.",USO,AG,EITINGON-SCHILD CO. INC.,"Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)","The following are subsidiaries: ... Ch. Eitingon, AG. (Leipzig,Germany), ..., Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany),Kruskal A Kruskal, Inc. (New York), EitingtSchud Fur Corp. (New York) ..."
L. C. Smith & Corona Schreihmaschinen G.m.b.H.,L. C. Smith & Corona Typewriters Inc.,USO,GmbH,"SMITH (L. C.) & CORONA TYPEWRITERS, INC.","L. C. Smith & Corona Schreibmaschinen G m.b.H., Berlin, Germany",
,United States Steel Corporation,DEO,Others,UNITED STATES STEEL CORPORATION,"Fried. Krupp, A. G., Germany","Contracts for Krupp's Stainless Steel Patent Rights: On April 17, 1931 James A. Farrell, President, announced that an arrangement had been concluded by the United States Steel Corp. with Fried. Krupp, A. G., Germany, whereby the subsidiary companies of the steel corporation are licensed by Krupp under various patents of Strauss. Johnson, Armstrong, Fry, Kuehn and Smith for rust-resisting and heat-resisting and other alloy steels and for the heat treatment thereof. "
