German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Description
Titangesellschaft m.b.H.,National Lead Company,USO,GmbH,NATIONAL LEAD COMPANY,Titangesellschaft M. B. H.,"In 1927 company exercised its option to purchase ths Titan Co. of Norway. Company also concluded an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft to manufacture and market in Germany and Central Europe titanium pigments from the Norwegian ores. I. G. Farbenindustrie A. G. and the company each own an interest in Titangesellschaft M. B. H. which has built a plant for the manufacture of titanium pimento at Leverkusen, near Cologne, Germany."
Allgemeine Elektricitäts-Gesellschaft,International General Electric Company Inc.,USOP,AG,"INTERNATIONAL GENERAL ELECTRIC COMPANY, INC. (Controlled by General Electric Co.)","Allgemeine Elektricitäts Gesellschaft, Berlin, Germany (35%)","Osram G.m.b.H. Kommanditgesellschaft. Berlin, Ger. (16 2/3%)"
Osram G.m.b.H. Kommanditgesellschaft,International General Electric Company Inc.,USOP,GmbH,"INTERNATIONAL GENERAL ELECTRIC COMPANY, INC. (Controlled by General Electric Co.)",Osram G.m.b.H. Kommanditgesellschaft,"Osram G.m.b.H. Kommanditgesellschaft. Berlin, Ger. (16 2/3%)"
,International General Electric Company Inc.,USOP,Others,"INTERNATIONAL GENERAL ELECTRIC COMPANY, INC. (Controlled by General Electric Co.)",Siemens & Halske Aktiengesellschaft,"Notes: In 1930 International General Electric Co. acquired $10,000,000 par value of participating debentures of Siemens & Halske Aktiengesellschaft (Germany), out of a total of $14,400,000 par value sold in the United States. According to the company's annual report (1930), while these debentures give International General Electric Co. no vote in the affairs of Siemens and Halske A. G., it does give International General Electric a substantial participation in the profits, and the relations between the two companies are very cordial."
"Paramount Film Vertreib G. m. b. H., Berlin, Germany","Paramount Pictures, Inc.",USO,GmbH,PARAMOUNT PUBLIX CORPORATION,"Paramount Film Vertreib G. m. b. H., Berlin, Germany",
,Pueping (Fred) Leather Co.,Others,Others,RUEPING (FRED) LEATHER CO.,,"Branch offices at Boston, New York, Chicago, Milwaukee, St Louis, Cincinnati, San Francisco, Montreal, Northampton (Eng.) and Frankfurt Germany."
Oldenburgische Erdol Gesellschaft m.b.H.,North European Oil Corp.,USO,GmbH,NORTH EUROPEAN OIL CORP., Oldenburgische Erdoel G.m.b.H.,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000."
Explora G.m.b.H.,North European Oil Corp.,USO,GmbH,NORTH EUROPEAN OIL CORP.,Explora G.m. b. H.,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000."
West-Oel Gesellschaft m.b.H.,North European Oil Corp.,USO,GmbH,NORTH EUROPEAN OIL CORP.,Westoel G.m.b.H.,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000."
Ost-Oel G.m.b.H.,North European Oil Corp.,USO,GmbH,NORTH EUROPEAN OIL CORP.,Ostoel G.m.b.H.,"Formed under Delaware laws in Aug, 1929 as a reorganisation of the former Nord Oil Co, for the purpose of exploiting oil fields in Northern Germany, particularly in the district between the lower Weser and lower Elbe Rivers. Company Is reported to have taken options on areas totaling about 4,000 square miles. The purpose of the new company Is to apply American deepdrilling methods In an effort to uncover real reservoirs. While oil has been found in this territory, the output has been small and the borings comparatively Shallow. It is stated that control of more than 1000,000 acres of oil and natural gas lands In Northern Germany, owned by the North European Oil Corp., is under option to a large Independent American oil company. Most of the acreage is In a triangular area of which the cities of Hamburg, Bremen and Hanover represent the points. Controls the following German companies: Oldenburgische Erdoel G.m.b.H.; Explora G.m. b. H.; Wesfoel G.in.b.H.; and Osfoel G.m.b.H. In May, 1931 it was reported that about 600,000 acres were sold for $900,000."
Vereinigte Glanzstoff A.G.,American Bemberg Corp.,DEO,AG,AMERICAN BEMBERG CORP.,"Vereinigte Glansstoff-Fabriken AG , Elberfeld, Germany","""Bemberg artificial, silk in the United States under patents and processes exclusively owned by J. P. Bemberg A.G. in Germany. Acquired sole rights for the United State to all Bemberg patents and processes."" In Capital Stock: ""Unconditionally guaranteed as to dividends from July 1, 1926, to July 1, 1929, Jointly and severally by Vereinigte Glansstoff-Fabriken AG , Elberfeld, Germany, and J. P. Bemberg A.G., Barmen, Germany. Regular dividends paid J&J 1 to July 1, 1930, Ind.; none thereafter. """
J. P. Bemberg A.G.,American Bemberg Corp.,DEO,AG,AMERICAN BEMBERG CORP.,J. P. Bemberg A.G.,"""Bemberg artificial, silk in the United States under patents and processes exclusively owned by J. P. Bemberg A.G. in Germany. Acquired sole rights for the United State to all Bemberg patents and processes."" In Capital Stock: ""Unconditionally guaranteed as to dividends from July 1, 1926, to July 1, 1929, Jointly and severally by Vereinigte Glansstoff-Fabriken AG , Elberfeld, Germany, and J. P. Bemberg A.G., Barmen, Germany. Regular dividends paid J&J 1 to July 1, 1930, Ind.; none thereafter. """
,Radio Corporation of America,USC,Others,RADIO CORPORATION OF AMERICA,,"""On Dec. 31, 1931, R.C.A. Communications, Inc. operated the following international and domestic radio circuits.... Germany."" "
,Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),Others,Others,RADIO-KEITH-ORPHEUM CORPORATION (Controlled by Radio Corp. of America),"AEG, Siemens and Halske, and Tobis Klangfilm","""Agreement for Exchange of patent rights: with AEG, Siemens and Halske, and Tobis Klangfilm"""
"Deutsche Timken G.m.b.H., of Berlin",The Timken Roller Bearing Company,USO,GmbH,THE TIMKEN ROLLER BEARING COMPANY,"Deutsche Timken G.m.b.H., of Berlin","Deutsche Timken G.m.b.H., of Berlin, Germany: Organized in Sept, 1928. Capital of Rm 400,000, Rm 226,000 being acquired by Timken Roller Bearing Co.; balance by British Timken, Ltd., and the managers of the British and German companies."
Mercedes Buromaschinen Werke AG,Underwood Elliott Fisher Company,USOP,AG,UNDERWOOD ELLIOTT FISHER COMPANY,"Mercedes Buromaschinen-Werke A.G. of Zella-Mehlis, Thuringen","...on Dec. 22, 1980, acquired a substantial financial interest in Mercedes Buromaschinen-Werke A.G. of Zella-Mehlis, Thuringen, Germany, and entered into an arrangement for interchange of technical rights and manufacturing information. The Mercedes Co. produces eletric typewriters and bookkeeping machines."
"Metallwaaren Gesellschaft m. b. H., of Aachen",The Torrington Company,USO,GmbH,THE TORRINGTON COMPANY (OF CONNECTICUT) {Controlled by The Torrington Co. of Maine),"Metallwaaren Gesellschaft m. b. H., of Aachen","The plants of the company are as follows: ... the Metallwaaren Gesellschaft m.b.H., of Aachen"
Eisenbahn Verkehrsmittel A.-G.,The Silica Gel Corporation,USC,AG,THE SILICA GEL CORPORATION (Affliated with The Davison Chemical Co.),Eisenbahn Verkehrsmittel A.-G.,"The company is associated with the Railroad Equipment Co. (Eisenbahn Verkehrsmittel A.-G.), the Refrigerator Transit Co. (Kuehltransit A.-G.), the Julius Pintsch A.-G. and the Dutch Koel en Vrieshuizen N. V., in a jointly owned Swiss corporation formed for the development of iceless refrigeration."
Kuehltransit A.-G.,The Silica Gel Corporation,USC,AG,THE SILICA GEL CORPORATION (Affliated with The Davison Chemical Co.),Kuehltransit A.-G.,"The company is associated with the Railroad Equipment Co. (Eisenbahn Verkehrsmittel A.-G.), the Refrigerator Transit Co. (Kuehltransit A.-G.), the Julius Pintsch A.-G. and the Dutch Koel en Vrieshuizen N. V., in a jointly owned Swiss corporation formed for the development of iceless refrigeration."
Julius Pintsch A.-G.,The Silica Gel Corporation,USC,AG,THE SILICA GEL CORPORATION (Affliated with The Davison Chemical Co.),Julius Pintsch A.-G.,"The company is associated with the Railroad Equipment Co. (Eisenbahn Verkehrsmittel A.-G.), the Refrigerator Transit Co. (Kuehltransit A.-G.), the Julius Pintsch A.-G. and the Dutch Koel en Vrieshuizen N. V., in a jointly owned Swiss corporation formed for the development of iceless refrigeration."
,Ford Motor Company,USO,Others,FORD MOTOR COMPANY,,"The text states that a subsidiary was established in Germany, with a plant located in Cologne, Germany. However, it does not give the specific legal name of the German subsidiary on this page."
Fox Tönende Wochenschau Aktiengesellschaft,Twentieth Century-Fox Film Corp.,USO,AG,FOX FILM CORPORATION,"Fox Tonevale Wochenschau A. G., Germany",
Deutsche Fox-Film Aktiengesellschaft,Twentieth Century-Fox Film Corp.,USO,AG,FOX FILM CORPORATION,Deutsch Vereins Fox A. G.,
,The Willys-Overland Company,USC,Others,THE WILLYS-OVERLAND COMPANY,,"The document mentions that the company has ""affiliated companies located in Canada, England and Germany,"" but it does not list the specific name of the German subsidiary on this page."
Deutsche Worthington Gesellschaft m.b.H.,Worthington Pump and Machinery Corp.,USO,GmbH,WORTHINGTON PUMP AND MACHINERY CORPORATION,"Worthington Pumpen und Machinenbau Gesellschaft m.b.H., Germany","Companies owns or controls the following subsidiaries:... Worthington Pumpen und Machinenbau Gesellschaft m.b.H., Germany"
Nobel-Good-Group,Gulf Oil Corporation,USO,GmbH,GULF OIL CORPORATION OF PENNSYLVANIA,Nobel-Good-Group,"Nobel-Good-Andre Groups: In 1928 Gulf Oil Corp. of Penn. acquired for $2,800,000 in cash and 17,601 shares of stock a 75% interest in marketing companies in Europe, in which it originally had a 25% interest. These companies are known as the Nobel-Good-Group and operate in England, France, Belgium, Germany, Holland and the Scandinavian countries; principally dealing in distribution and sale of lubricating."
F. W. Woolworth Co.,F. W. Woolworth Co.,USO,GmbH,F. W. WOOLWORTH COMPANY,"F. W. Woolworth Co., G.m.b.H., Berlin, Germany","Owns entire stock of ..., and controls F. W. Woolworth Co., G.m.b.H., Berlin, Germany,... On Dec. 31, 1931, controlled 1,908 stores in the United States, Canada and Cuba, with more than 85,000 employees and 428 stores in Great Britain and 60 in Germany."
Damm & Ladwig Kommandit Gesellschaft und Dulv Aktiengesellschaft,The Yale & Towne Manufacturing Company,USO,AG,THE YALE & TOWNE MANUFACTURING COMPANY,"Damm & Ladwig Company of Velbert, Germany","In Dec, 1927. company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties comprising 116 acres of tend with 20 buildings with a combined floor space of 425,000 sq. ft. and employing 1,750 people. In 1928, company purchased the plant and business of Boge & Kastern, G.m.b.H., of Solingen, Germany. Company’s Continental European business is now conducted as the “Velbert Branch of The Yale & Towne Manufacturing Co.” with plants at Velbert and Solingen, and a controlling interest in the plant at Troppau."
Vereinigte Riegel- und Schlossfabriken Act.-Ges.,The Yale & Towne Manufacturing Company,USO,AG,THE YALE & TOWNE MANUFACTURING COMPANY,"Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert, Germany","In Dec, 1927. company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties comprising 116 acres of tend with 20 buildings with a combined floor space of 425,000 sq. ft. and employing 1,750 people. In 1928, company purchased the plant and business of Boge & Kastern, G.m.b.H., of Solingen, Germany. Company’s Continental European business is now conducted as the “Velbert Branch of The Yale & Towne Manufacturing Co.” with plants at Velbert and Solingen, and a controlling interest in the plant at Troppau."
Brankaer Eisenwerke,The Yale & Towne Manufacturing Company,USO,AG,THE YALE & TOWNE MANUFACTURING COMPANY,"Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia","In Dec, 1927. company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties comprising 116 acres of tend with 20 buildings with a combined floor space of 425,000 sq. ft. and employing 1,750 people. In 1928, company purchased the plant and business of Boge & Kastern, G.m.b.H., of Solingen, Germany. Company’s Continental European business is now conducted as the “Velbert Branch of The Yale & Towne Manufacturing Co.” with plants at Velbert and Solingen, and a controlling interest in the plant at Troppau."
B.K.S. Handelsgesellschaft m.b.H.,The Yale & Towne Manufacturing Company,USO,GmbH,THE YALE & TOWNE MANUFACTURING COMPANY,"Boge & Kastern, G.m.b.H., of Solingen, Germany","In Dec, 1927. company purchased Damm & Ladwig Company of Velbert, Germany, a controlling interest in two affiliated companies, Aktiengesellschaft Vereinigte Riegel und Schloss Fabriken, Velbert, Germany, and Brankaer Eisenwerke Aktiengesellschaft, Troppau, Czecho-Slovakia, the three properties comprising 116 acres of tend with 20 buildings with a combined floor space of 425,000 sq. ft. and employing 1,750 people. In 1928, company purchased the plant and business of Boge & Kastern, G.m.b.H., of Solingen, Germany. Company’s Continental European business is now conducted as the “Velbert Branch of The Yale & Towne Manufacturing Co.” with plants at Velbert and Solingen, and a controlling interest in the plant at Troppau."
,Consolidated Oil Corporation,Others,Others,CONSOLIDATED OIL CORPORATION,,"Marketing Facilities: Company has distribution outlets in nearly all states out of the Rocky Mountains, and in Cuba, Mexico, Great Britain. Holland, Belgium, Germany, and other foreign countries. In the United States company owns and controls approximately 1,100 bulk stations, which supply retail outlets - and large consumers. Supplementing about 12,000 owned and teased service stations, the corporation has more than 21,000 other outlets. More than 55,000 pumps are installed at the total retail outlets of the company."
"Kohlenscheidungs-Gesellschaft, m.b.H.",Combustion Engineering Co. Inc.,USO,GmbH,INTERNATIONAL COMBUSTION ENGINEERING CORPORATION,Kohlenscheidungs-Gesellchaft (Germany),"""Company's works are located at Monongahela, Pa.; East Chicago, hid.; Chicago, DI.; St Louis, Mo.; Phoenixville, Pa.; Newark, N. J.; Dover, Ohio; Chattanooga, Tenn.; Fairmont, W. Va.; Derby, Eng., and Boubaix, France. Affiliated companies in England, Germany, France, Belgium and Holland."" ""International Combustion Engineering Corp. also controls Coal Oil Extraction, Ltd, and owns entire capital stock of N. V. Carbo-Union Industrie Maatschappij (Holland), which holds, in turn, the entire capital stock of Kohlenscheidungs-Gesellchaft (Germany), In Mar, 1982, International Combustion Tar & Chemical Corp., a farmer subsidiary, was sold."""
Deutsch-Amerikanische Petroleum-Gesellschaft,Standard Oil Company (New Jersey),USO,AG,STANDARD OIL COMPANY (NEW JERSEY),Deutsch Amerikanische Petroleum Ges. (Germany),
,Standard Oil Company (New Jersey),USC,Others,STANDARD OIL COMPANY (NEW JERSEY),I. G. Farbenindustrie A. G.,"STANDARD-I. G. CO.:  Incorporated in Delaware In Nov., 1929, as a merger of interests of Standard Oil Co. (N. J.) and the I. G. Farbenindustrie A. G. in hydrogenation development, replacing a development contract entered into by these two companies in 1927. All patent rights, present and future, relating to hydrogenation of coal and oil outside of Germany have been assigned to the Standard-I. G. Co. Oli hydrogenation plant at Bayway. N. J., was completed in Aug., 1930. Another plant is under construction at Baton Rouge, La., and a third plant is to be constructed at Baytown, Tex. Exclusive rights to license the new process in the United States have been vested in a new company. Hydro Patents Co., incorporated in Delaware. The entire issued stock of this company is at present held by Standard Oil Development Co., but licensees of the process will be required to own stock of the Hydro Patents Co. and to make their daily production under the process equal in barrels the number of shares of Hydro stock taken. Hydro Engineering & Chemical Co. has also been organized and will furnish to licensees of Hydro Patent Co. the technical knowledge relating to the process. This company will manufacture and maintain stocks of catalysts and on on request will supply them to licensees. Majority of capital stock of Standard-I. G. Co. owned by Standard Oil Co. (N. J.), balance by the I. G. Farbenindustrie, A. G.

International Hydrogenation Patents Co: Formed in 1931 through the fusion of interests of Standard Oil Co. of New Jersey, the I. G. Farbenindustrie of Germany, the Royal Dutch-Shell Group and Imperial Chemical industries. Ltd. Headquarters will be at Vadus, Leichtenstein. It will operate the hydrogenation process for the liquefaction or coal and the refining at oils in all countries outside the United States and Germany. The international Hydrogenation Engineering & Chemical Co., which is to be organized shortly at The Hague, will arrange the exchange of patent rights and new information on hydrogenation among all users, Including corresponding companies In the United States, which were organised in 1929. German Inventions and experience will be available to the now company through the Standard-I, G. Co., representing the fusion of hydrogenation interests between the I. G. Farbanindustrie of Germany and the Standard Oil Co. of Jersey."
Ebano Asphalt-Werke Aktiengesellschaft,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),USO,AG,PAN AMERICAN FOREIGN CORPORATION (Controlled by Standard Oil Co. [N. J.]),Ebano Asphalt Werke A. G.; Ebano Asphalt Gesellschaft m. b. H.; Emas A.G. fuer Strassenbaubedarf; Euphalt Gesellschaft m.b.H.; Taerbaustoff Gesellschaft m.b.H.,
"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",I. B. Kleinert Rubbert Company,USO,GmbH,KLEINERT (I. B.) RUBBER CO.,I. B. Kleinert Rubber Co. G.m.b.H.,"Foreign plants located in London, Paris, Hambubrg and Toronto... In 1930 purchased Hanseatische Rubber Co. of Hamburg, Germany and changed name to I. B. Kleinert Rubber Co., G. m. b. H. In 1981 disposed of Interest in Masonia Rubber Works of Hamburg, Germany."
Robert Bosch A.G.,United American Bosch Corporation,DEO,AG,UNITED AMERICAN BOSCH CORPORATION,"Robert Bosch A.G., Stuttgart, Germany","In Dec., 1980, company issued 69,600 shares of stock and warrants representing the rights to purchase 50,000 shares of stock in exchange for substantially all the assets of Robert Bosch Magneto Co., Inc. formerly exclusive distributor in United States and Canada of the products manufactured by Robert Bosch A. G., Stuttgart, Germany. These products are now distributed by the United American Bosch Corp, through direct agreement with Robert Bosch, A.G."
Torpedo-Werke A.G.,Remington Rand Inc.,USO,AG,REMINGTON RAND INC.,Torpedo,"Incorporated in Delaware on January 25, 1927. The company manufactures noiseless, portable and electric typewriting and bookkeeping machines, steel and wood filing equipment, office furniture, indexing systems, safe files and safe cabinets, loose-leaf ledgers, accounting devices and supplies, and computing and adding machines. It owns or controls plants in New York, Connecticut, Massachusetts, Ohio, Michigan, Georgia, California, England, Canada, France, and Germany. Products are distributed through branch offices and dealers in the United States and foreign countries. In April 1932, the company acquired a financial interest in a contract with Wellwerke, a German company, making certain products and patents available in Frankfurt, Germany under the trade name ""Torpedo"". As of May 1, 1931, the company had 16,938 employees."
,Standard Oil Company (Indiana),Others,Others,STANDARD OIL COMPANY (INDIANA),,"Manufacturing: The Standard Oil Co. (Ind.) group operates refineries at 13 points in the United States and three abroad having a total crude oil through-put capacity of 353,000 barrels a day. Crude oil run by these plants in 1931 totalled 93,178,261 barrels of 42 gallons each as compared with 99,313,851 barrels in 1930. The 1930 statistics include tor the first time runs of Pan American’s refinery at Aruba, D. W. L, and a full year’s operation of that company's asphalt manufacturing plant at Hamburg, Germany."
"Dorr-Oliver G.m.b.H., Berlin, Germany",Oliver United Filters Inc.,USO,GmbH,OLIVER UNITED FILTERS INC.,"Dorr-Oliver G.m.b.H., Berlin, Germany","Operated factories at Oakland, Cal. and Hazleton, Pa.; products were also manufactured through agencies in Canada, Germany, England, Belgium, France, and Holland... The operating subsidiaries of Dorr-Oliver Corp. are ... Dorr-Oliver G.m.b.H., Berlin, Germany"
